Site ID,latitude,longitude,IGBP
AR-SLu,-33.4648,-66.4598,MF
AR-Vir,-28.2395,-56.1886,ENF
AT-Neu,47.1166687011718,11.3175001144409,GRA
AU-ASM,-22.283,133.249,ENF
AU-Ade,-13.0769,131.1178,WSA
AU-Cpr,-34.0021,140.5891,SAV
AU-Cum,-33.6152,150.7236,EBF
AU-DaP,-14.0633,131.3181,GRA
AU-DaS,-14.1593,131.3881,SAV
AU-Dry,-15.2588,132.3706,SAV
AU-Emr,-23.8587,148.4746,GRA
AU-Fog,-12.5452,131.3072,WET
AU-Gin,-31.3764,115.7138,WSA
AU-RDF,-14.5636,132.4776,WSA
AU-Rob,-17.1175,145.6301,EBF
AU-TTE,-22.287,133.64,OSH
AU-Tum,-35.6566,148.1517,EBF
AU-Wac,-37.4259,145.1878,EBF
AU-Whr,-36.6732,145.0294,EBF
AU-Wom,-37.4222,144.0944,EBF
AU-Ync,-34.988282,146.291606,GRA
BE-Bra,51.30761,4.51984,MF
BE-Lon,50.5516198,4.7462339,CRO
BE-Vie,50.3049329013726,5.99811511350303,MF
BR-Sa1,-2.8567,-54.9589,EBF
BR-Sa3,-3.018,-54.9714,EBF
CA-Gro,48.2167,-82.1556,MF
CA-Man,55.8796,-98.4808,ENF
CA-NS2,55.9058,-98.5247,ENF
CA-NS3,55.9117,-98.3822,ENF
CA-NS4,55.9144,-98.3806,ENF
CA-NS5,55.8631,-98.485,ENF
CA-NS6,55.9167,-98.9644,OSH
CA-NS7,56.6358,-99.9483,OSH
CA-Oas,53.6289,-106.1978,DBF
CA-Obs,53.9872,-105.1178,ENF
CA-Qfo,49.6925,-74.3421,ENF
CA-SF1,54.485,-105.8176,ENF
CA-SF2,54.2539,-105.8775,ENF
CA-SF3,54.0916,-106.0053,OSH
CA-TP1,42.6609,-80.5595,ENF
CA-TP2,42.7744,-80.4588,ENF
CA-TP3,42.7068,-80.3483,ENF
CA-TP4,42.7102,-80.3574,ENF
CA-TPD,42.6353,-80.5577,DBF
CG-Tch,-4.289166667,11.65641667,SAV
CH-Cha,47.21022222,8.410444444,GRA
CH-Dav,46.81533,9.85591,ENF
CH-Fru,47.11583333,8.537777778,GRA
CH-Lae,47.47808333,8.365,MF
CH-Oe1,47.28583333,7.731944444,GRA
CH-Oe2,47.28630556,7.734333333,CRO
CN-Cha,42.4025,128.0958,MF
CN-Cng,44.5934,123.5092,GRA
CN-Dan,30.4978,91.0664,GRA
CN-Din,23.1733,112.5361,EBF
CN-Du2,42.046667,116.283611,GRA
CN-Du3,42.0551,116.2809,GRA
CN-HaM,37.37,101.18,GRA
CN-Qia,26.733959,115.066338,ENF
CN-Sw2,41.7902,111.8971,GRA
CZ-BK1,49.5021286010742,18.5368595123291,ENF
CZ-BK2,49.49443,18.54285,GRA
CZ-wet,49.02465,14.77035,WET
DE-Akm,53.86617,13.68342,WET
DE-Geb,51.09973,10.91463,CRO
DE-Gri,50.95004,13.51259,GRA
DE-Hai,51.07916667,10.453,DBF
DE-Kli,50.89306,13.52238,CRO
DE-Lkb,49.09961667,13.30466667,ENF
DE-Lnf,51.3282167,10.3678,DBF
DE-Obe,50.78666,13.72129,ENF
DE-RuR,50.6219142,6.3041256,GRA
DE-RuS,50.86590702,6.447144704,CRO
DE-Seh,50.8706233,6.44965306,CRO
DE-SfN,47.806389,11.3275,WET
DE-Spw,51.89225,14.03369,WET
DE-Tha,50.96256,13.56515,ENF
DE-Zrk,53.875943,12.88901,WET
DK-Eng,55.69052778,12.19175,GRA
DK-Fou,56.4841995239257,9.58722019195556,CRO
DK-Sor,55.4858694,11.6446444,DBF
ES-Amo,36.833608,-2.252318,OSH
ES-LJu,36.926594,-2.752115,OSH
ES-LgS,37.097936,-2.965833,OSH
ES-Ln2,36.969502,-3.475819,OSH
FI-Hyy,61.84741,24.29477,ENF
FI-Jok,60.8986,23.51345,CRO
FI-Let,60.64183,23.95952,ENF
FI-Lom,67.997239,24.209178,WET
FI-Sod,67.36238641,26.63859066,ENF
FR-Fon,48.476358,2.780096,DBF
FR-Gri,48.84422,1.95191,CRO
FR-LBr,44.71711,-0.7693,ENF
FR-Pue,43.7413,3.5957,EBF
GF-Guy,5.27877187728882,-52.924861907959,EBF
GH-Ank,5.26854275,-2.69420592,EBF
GL-NuF,64.13083,-51.38611,WET
GL-ZaF,74.481433,-20.554517,WET
GL-ZaH,74.47328,-20.5503,GRA
IT-BCi,40.52375,14.95744444,CRO
IT-CA1,42.38041111,12.02656111,DBF
IT-CA2,42.37721944,12.02603889,CRO
IT-CA3,42.38,12.0222,DBF
IT-Col,41.84936,13.58814,DBF
IT-Cp2,41.7042655944824,12.3572931289673,EBF
IT-Cpz,41.7052493,12.3761058,EBF
IT-Isp,45.812643,8.633579,DBF
IT-La2,45.9542,11.2853,ENF
IT-Lav,45.9562,11.28132,ENF
IT-MBo,46.014678,11.045831,GRA
IT-Noe,40.606176,8.1511694,CSH
IT-PT1,45.20087222,9.061038889,DBF
IT-Ren,46.58686,11.43369,ENF
IT-Ro1,42.40812,11.93001,DBF
IT-Ro2,42.39026,11.92093,DBF
IT-SR2,43.732026,10.290954,ENF
IT-SRo,43.72786111,10.28444444,ENF
IT-Tor,45.84444,7.578055,GRA
JP-MBF,44.3842,142.318583,DBF
JP-SMF,35.261663,137.0786,MF
MY-PSO,2.973,102.3062,EBF
NL-Hor,52.24035,5.071301,GRA
NL-Loo,52.166581,5.743556,ENF
PA-SPn,9.318139833,-79.6346,DBF
PA-SPs,9.313779833,-79.63142983,GRA
RU-Che,68.61304,161.34143,WET
RU-Cok,70.82913889,147.4942778,OSH
RU-Fyo,56.4615278,32.9220833,ENF
RU-Ha1,54.72517,90.00215,GRA
RU-Sam,72.3738,126.4958,GRA
RU-SkP,62.255,129.168,DNF
RU-Tks,71.594267,128.887817,GRA
RU-Vrk,67.0546798706055,62.9404678344727,CSH
SD-Dem,13.2829,30.4783,SAV
SE-St1,68.3541488,19.050333,WET
SJ-Adv,78.186,15.923,WET
SJ-Blv,78.921630859375,11.8310852050781,SNO
SN-Dhr,15.40278,-15.43222,SAV
US-AR1,36.4267,-99.42,GRA
US-AR2,36.6358,-99.5975,GRA
US-ARM,36.6058,-97.4888,CRO
US-ARb,35.5497,-98.0402,GRA
US-ARc,35.5465,-98.04,GRA
US-Atq,70.4696,-157.4089,WET
US-Blo,38.8953,-120.6328,ENF
US-CRT,41.6285,-83.3471,CRO
US-Cop,38.09,-109.39,GRA
US-GBT,41.3658,-106.2397,ENF
US-GLE,41.3665,-106.2399,ENF
US-Goo,34.2547,-89.8735,GRA
US-Ha1,42.5378,-72.1715,DBF
US-IB2,41.8406,-88.241,GRA
US-Ivo,68.4865,-155.7503,WET
US-KS1,28.4583,-80.6709,ENF
US-KS2,28.6086,-80.6715,CSH
US-LWW,34.9604,-97.9789,GRA
US-Lin,36.3566,-119.8423,CRO
US-Los,46.0827,-89.9792,WET
US-MMS,39.3232,-86.4131,DBF
US-Me1,44.5794,-121.5,ENF
US-Me2,44.4523,-121.5574,ENF
US-Me3,44.3154,-121.6078,ENF
US-Me4,44.4992,-121.6224,ENF
US-Me5,44.4372,-121.5668,ENF
US-Me6,44.3233,-121.6078,ENF
